% aged 16-64 who are employees,"% all in employment who are - 6: caring, leisure and other service occupations (SOC2010)",% of economically inactive who do not want a job,% who are economically inactive - aged 16-64,% with NVQ4+ - aged 16-64,Economic activity rate - aged 16-64,Population estimates - Aged 65 and over (%),Claimants as a proportion of economically active residents aged 16+
64.5,8.6,71.5,20.5,57.9,79.5,19.7,7.1
65.9,7.7,70.7,16.2,46,83.8,25.9,5.1
73.7,10.9,78.9,18.5,32.8,81.5,24.7,6.3
68.3,7.5,66.7,18.5,36.5,81.5,16.9,7.7
70.1,7.6,74.7,17.7,45.4,82.3,22.6,5.1
74.2,9.4,82.3,13.7,51.8,86.3,22.1,5.3
70.2,6.3,73.8,16.8,45.9,83.2,17.5,5.9
62.4,10.2,94.5,20.9,49.9,79.1,23.4,5.6
77.7,7,90.1,13.7,43.2,86.3,19.6,5.2
67.4,8,97.9,20.5,45.7,79.5,23.7,5.2
59.5,9.8,56,28.6,30.1,71.4,20.4,7.7
74.3,2.8,78.4,17.4,51.4,82.6,19.9,4.9
58.9,6.3,74.8,23,41.9,77,23.5,8.4
65.6,9.5,96.7,22.7,37.4,77.3,29.3,5.7
67.7,15,83.8,17.3,41.4,82.7,14.9,6.5
70.7,11.6,90.1,14.9,49,85.1,21.7,4.7
66.4,9.4,80.9,21,52.6,79,21.4,5.2
67.3,8.5,74.5,16.3,21.6,83.7,17.9,8.6
66.5,7.1,68.4,16.3,41.5,83.7,17.3,6.8
64,6.9,66.8,20.6,37.8,79.4,18.4,7.9
75.1,6.9,93.3,14.8,53,85.2,19.2,5.9
60.1,,71.3,22,59.3,78,18.2,6.6
63.9,7,88.6,25.7,49,74.3,13.3,9.6
69.5,11.3,75.1,15.4,37.4,84.6,19.4,7.7
65.3,14,91,16.9,44.9,83.1,20.6,6.8
59.9,7.9,92.2,12.2,36.9,87.8,14.1,7
63.5,9.4,88,20.9,39.8,79.1,23.5,9.6
74.1,12.8,81.6,16.9,31.7,83.1,17.4,8.9
73.4,5,83,18,51.6,82,19.2,6.8
58.2,7.4,88.8,22.6,49.1,77.4,21.6,5.9
64.3,4.7,83.6,18.1,38.4,81.9,24.8,10.1
70.1,9.1,88.4,20.8,26.5,79.2,19.2,9.3
56.6,8.5,74.1,25.1,27.4,74.9,23.8,13.5
65.5,8.3,93.5,12.8,32.8,87.2,18.8,5.5
61.9,4.6,76.8,18.9,62,81.1,19.4,6.3
62.1,10.3,94.4,26.2,33.2,73.8,18.7,13
65.4,9.5,57.4,23.5,45.6,76.5,20,6.7
71.8,5.1,78.5,20.8,39.3,79.2,27.6,7.6
63.9,7.3,85.9,25.8,31.3,74.2,18.5,11
65.2,13.8,82.7,18.9,36.1,81.1,19.9,7.6
66.4,5.5,79.1,20,34.7,80,18.7,10
64.9,8.8,73.5,26,41.7,74,14.7,10.4
62.6,8.7,93.1,19.6,58.8,80.4,23.7,4.6
72.6,14,92.3,16.5,37.1,83.5,18.7,8.8
74.6,6.8,95.6,16.3,39.4,83.7,21.5,5.6
52.4,12,80.5,23.5,33.1,76.5,22.1,7.6
72.7,5.4,85.3,18.2,39.3,81.8,27.8,7.9
76.1,10.3,94.2,17,48.9,83,20.3,5.6
72.5,6,68.1,13.6,37.8,86.4,18.1,5.4
71.5,4,85.5,13.7,46.8,86.3,21.9,4.9
68.7,4.6,83.3,17.1,42.8,82.9,22.1,5.9
66.3,11.9,87,20.9,38.6,79.1,23.1,6
